model,fold,epoch,loss,val_auc
efficientnet_b4,4,1,0.011502974475331336,0.8307391192118869
efficientnet_b4,4,2,0.005680741497709871,0.8717461638126551
efficientnet_b4,4,3,0.005271481451114914,0.8941217305007906
efficientnet_b4,4,4,0.005036492775289296,0.8976064396322072
efficientnet_b4,4,5,0.004666291636498731,0.8726546190878357
efficientnet_b4,4,6,0.004385964961659431,0.9199707289445128
efficientnet_b4,4,7,0.004083702292395697,0.9003518541258906
efficientnet_b4,4,8,0.003712984037920195,0.8886083467617641
efficientnet_b4,4,9,0.0031684686539644965,0.8856010465404771
efficientnet_b4,4,10,0.0028867567166166643,0.8773635500176677
efficientnet_b4,4,11,0.002399023830031658,0.8783121026291323
efficientnet_b4,4,12,0.0020458856869048155,0.86087727959622
efficientnet_b4,4,13,0.0019019971970499568,0.8524605981018925
