epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.5058,0.5889,0.4923,0.8003,0.9798,0.0274,0.000112,54.4
2,0.448,0.8118,0.3558,0.8373,0.9706,0.2016,0.000273,34.1
3,0.403,0.81,0.5349,0.7835,0.9735,0.2051,0.0003,34.4
4,0.3548,0.8482,0.5248,0.8721,0.9781,0.172,0.000297,33.8
5,0.3428,0.8673,0.389,0.8698,0.9763,0.1942,0.000291,34.2
6,0.3268,0.8853,0.4166,0.8646,0.9755,0.2037,0.000282,33.1
7,0.3123,0.8936,0.4595,0.8856,0.9772,0.1667,0.000271,34.1
8,0.2985,0.9032,0.3774,0.9035,0.9778,0.1522,0.000258,32.8
9,0.2759,0.925,0.4958,0.8554,0.9801,0.0541,0.000242,33.0
10,0.2652,0.9287,0.4867,0.8523,0.9781,0.1895,0.000225,33.6
11,0.2451,0.9449,0.5503,0.8734,0.9783,0.0952,0.000206,33.4
12,0.2293,0.956,0.4944,0.8852,0.9763,0.2655,0.000186,33.8
13,0.2089,0.9636,0.5285,0.8736,0.9738,0.2812,0.000166,33.6
14,0.1872,0.9724,0.5691,0.872,0.9735,0.2439,0.000145,33.9
15,0.1644,0.9815,0.6296,0.8847,0.9732,0.254,0.000124,33.2
