Model,Setting,AUC,Accuracy,F1,Precision,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Threshold
Baseline (0.9220),default_thresh,0.8333,0.9707,0.1215,0.1183,0.125,0.9847,0.1067,11,5264,82,77,0.5
Baseline (0.9220),best_thresh_no_tta,0.8333,0.9446,0.1616,0.107,0.3295,0.9547,0.1648,29,5104,242,59,0.22
Baseline (0.9220),best_thresh_tta,0.8397,0.9428,0.1526,0.1004,0.3182,0.953,0.1551,28,5095,251,60,0.22
Two-stage (0.8812),default_thresh,0.8813,0.9829,0.1308,0.3684,0.0795,0.9978,0.1653,7,5334,12,81,0.5
Two-stage (0.8812),best_thresh_no_tta,0.8813,0.9746,0.266,0.25,0.2841,0.986,0.2536,25,5271,75,63,0.38
Two-stage (0.8812),best_thresh_tta,0.8952,0.9763,0.2629,0.2644,0.2614,0.988,0.2508,23,5282,64,65,0.38
OHEM (0.8777),default_thresh,0.8777,0.9735,0.2,0.1957,0.2045,0.9862,0.1866,18,5272,74,70,0.5
OHEM (0.8777),best_thresh_no_tta,0.8777,0.9531,0.2433,0.1647,0.4659,0.9611,0.2578,41,5138,208,47,0.44
OHEM (0.8777),best_thresh_tta,0.8863,0.958,0.2192,0.1569,0.3636,0.9678,0.2201,32,5174,172,56,0.44
SMOTE (0.8599),default_thresh,0.8599,0.9834,0.0426,0.3333,0.0227,0.9993,0.0835,2,5342,4,86,0.5
SMOTE (0.8599),best_thresh_no_tta,0.8599,0.9794,0.2113,0.2778,0.1705,0.9927,0.2076,15,5307,39,73,0.39
SMOTE (0.8599),best_thresh_tta,0.8696,0.9814,0.1653,0.303,0.1136,0.9957,0.1776,10,5323,23,78,0.39
Oversample,default_thresh,0.8886,0.958,0.245,0.1729,0.4205,0.9669,0.2514,37,5169,177,51,0.5
Oversample,best_thresh_no_tta,0.8886,0.9682,0.2638,0.2109,0.3523,0.9783,0.2572,31,5230,116,57,0.53
Oversample,best_thresh_tta,0.8923,0.9695,0.2655,0.2174,0.3409,0.9798,0.2573,30,5238,108,58,0.53
