model,fold,epoch,loss,val_auc
pvt_v2_b4,5,1,0.006750431573920751,0.8041710520232472
pvt_v2_b4,5,2,0.006653086472677699,0.7631145958265002
pvt_v2_b4,5,3,0.0066861463071933415,0.8194919241448895
pvt_v2_b4,5,4,0.006398417244481356,0.8208476452334913
pvt_v2_b4,5,5,0.0065709839639675255,0.49441801898825405
pvt_v2_b4,5,6,0.006789981769810382,0.480291051696895
pvt_v2_b4,5,7,0.0067722976664716696,0.4808540090997849
pvt_v2_b4,5,8,0.006769756052521305,0.49980146912844947
pvt_v2_b4,5,9,0.0067363326600178705,0.49990073456422474
pvt_v2_b4,5,10,0.006767155033047098,0.4812429120399455
pvt_v2_b4,5,11,0.006716814706032057,0.49990073456422474
