epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.5781,0.686,0.4351,0.8235,0.9632,0.0851,3.7e-05,41.6
2,0.4923,0.7159,0.544,0.8122,0.9801,0.0,9.1e-05,37.7
3,0.4408,0.7418,0.5274,0.8333,0.9806,0.0,0.0001,37.6
4,0.4301,0.7431,0.5393,0.8184,0.9801,0.0,9.9e-05,37.5
5,0.4226,0.7769,0.3965,0.8106,0.9772,0.0909,9.7e-05,37.4
6,0.4071,0.7908,0.5051,0.8082,0.9803,0.0,9.4e-05,37.3
7,0.4017,0.8035,0.5473,0.8379,0.9803,0.0,9e-05,37.5
8,0.4019,0.8136,0.4685,0.85,0.9803,0.1039,8.6e-05,37.6
9,0.3874,0.8235,0.385,0.8354,0.9775,0.1124,8.1e-05,37.4
10,0.3863,0.8284,0.3636,0.8625,0.9789,0.1591,7.5e-05,37.5
11,0.3666,0.854,0.4369,0.844,0.9798,0.1446,6.9e-05,37.4
12,0.3697,0.8595,0.5119,0.8476,0.9809,0.1067,6.2e-05,37.4
13,0.3622,0.8692,0.4096,0.8768,0.9778,0.1522,5.5e-05,37.8
14,0.3427,0.8799,0.3912,0.8757,0.9729,0.2636,4.8e-05,37.5
15,0.3355,0.891,0.4304,0.8676,0.9803,0.1481,4.1e-05,37.4
16,0.327,0.8979,0.4668,0.8718,0.9769,0.1818,3.5e-05,37.4
17,0.3186,0.9117,0.5121,0.8683,0.9812,0.1538,2.8e-05,37.3
18,0.3074,0.9177,0.6026,0.8663,0.9809,0.0822,2.2e-05,37.8
19,0.3078,0.9254,0.5432,0.8745,0.9812,0.25,1.7e-05,37.6
20,0.2996,0.9315,0.49,0.8765,0.9786,0.2105,1.2e-05,37.5
