epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.6912,0.6614,1.2283,0.7978,0.9806,0.0,3.7e-05,55.7
2,0.579,0.7271,1.0344,0.8525,0.9806,0.0,9.1e-05,54.6
3,0.5216,0.7292,0.5333,0.842,0.9806,0.0,0.0001,54.6
4,0.4984,0.7697,0.5613,0.8578,0.9806,0.0,9.9e-05,54.5
5,0.465,0.7755,0.5246,0.838,0.9809,0.029,9.7e-05,55.1
6,0.4619,0.7836,0.6577,0.8383,0.9806,0.0,9.4e-05,54.6
7,0.4517,0.793,0.5327,0.8525,0.9806,0.0,9e-05,54.6
8,0.4463,0.8116,0.5976,0.8531,0.9806,0.0,8.6e-05,54.6
9,0.4494,0.8371,0.6035,0.8519,0.9806,0.0,8.1e-05,54.5
10,0.4244,0.8429,0.4752,0.8676,0.9812,0.1081,7.5e-05,54.7
11,0.424,0.8376,0.5159,0.8622,0.9806,0.0,6.9e-05,54.7
12,0.4203,0.8512,0.4936,0.8621,0.9815,0.1333,6.2e-05,54.8
13,0.4092,0.8636,0.4945,0.8735,0.9818,0.1111,5.5e-05,54.8
14,0.4021,0.8752,0.5471,0.8719,0.9815,0.1096,4.8e-05,54.6
15,0.3854,0.8828,0.5817,0.8723,0.9815,0.1558,4.1e-05,54.6
16,0.3923,0.8926,0.5357,0.871,0.9818,0.1351,3.5e-05,54.6
17,0.3795,0.8992,0.5926,0.8829,0.9806,0.1053,2.8e-05,55.5
18,0.3668,0.9115,0.6281,0.8673,0.9801,0.1026,2.2e-05,54.9
19,0.3617,0.9113,0.5905,0.8751,0.9801,0.1463,1.7e-05,54.7
20,0.3455,0.922,0.6516,0.8723,0.9809,0.2118,1.2e-05,54.7
21,0.3398,0.9302,0.607,0.8787,0.9795,0.122,8e-06,54.7
22,0.344,0.924,0.7051,0.8711,0.9806,0.15,4e-06,54.6
23,0.3366,0.9346,0.671,0.8717,0.9803,0.1882,2e-06,54.6
24,0.3296,0.9352,0.6744,0.8712,0.9803,0.1882,0.0,54.7
