model,fold,epoch,loss,val_auc
swinv2_small_window8_256,5,1,0.0065615855250960725,0.8400289909464483
swinv2_small_window8_256,5,2,0.006306170173965415,0.8229675741975138
swinv2_small_window8_256,5,3,0.006154312943427287,0.8319191408236584
swinv2_small_window8_256,5,4,0.006497551824228607,0.8508190078351705
swinv2_small_window8_256,5,5,0.006299190370716296,0.802639916671426
swinv2_small_window8_256,5,6,0.006482900760806634,0.7698959208704899
swinv2_small_window8_256,5,7,0.006493089344192813,0.8072890745469825
swinv2_small_window8_256,5,8,0.006548780524975248,0.6508698643734991
swinv2_small_window8_256,5,9,0.006735950824904732,0.7993546386874116
swinv2_small_window8_256,5,10,0.006636105680668945,0.7932151394747363
swinv2_small_window8_256,5,11,0.0064474289337916185,0.8209129156570147
