epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,1.4466,0.5975,1.5492,0.7115,0.9783,0.1364,0.000112,94.5
2,0.8647,0.7546,0.5716,0.7521,0.9732,0.0784,0.000273,89.2
3,0.4894,0.7974,0.3427,0.8633,0.9789,0.0263,0.0003,89.2
4,0.3811,0.8427,0.3843,0.8904,0.9806,0.0,0.000297,89.2
5,0.3479,0.8674,0.4732,0.8509,0.9778,0.1136,0.000291,89.2
6,0.3359,0.8674,0.3838,0.8856,0.9724,0.2595,0.000282,89.2
7,0.3171,0.8925,0.3949,0.8899,0.9792,0.1609,0.000271,89.4
8,0.2951,0.9074,0.3922,0.8842,0.9732,0.2879,0.000258,89.2
9,0.2837,0.9219,0.37,0.9147,0.9744,0.2742,0.000242,89.3
10,0.2647,0.9332,0.3951,0.8919,0.9698,0.2838,0.000225,89.4
11,0.2349,0.9552,0.4995,0.9025,0.9738,0.2459,0.000206,90.9
12,0.21,0.9628,0.5815,0.9039,0.9812,0.25,0.000186,89.3
13,0.2014,0.9708,0.463,0.9104,0.9744,0.2373,0.000166,89.5
14,0.1949,0.9684,0.5256,0.8978,0.9735,0.2901,0.000145,89.2
15,0.1698,0.9791,0.5806,0.8987,0.9792,0.2772,0.000124,89.4
16,0.1509,0.9838,0.7258,0.8873,0.9786,0.2268,0.000104,89.2
