epoch,tr_loss,tr_iou,tr_dice,vl_loss,vl_iou,vl_dice,lr,time_s
1,1.2874,0.655,0.7673,1.092,0.7849,0.8775,5e-05,133.3
2,0.9806,0.8075,0.8914,0.8196,0.8261,0.903,5e-05,133.1
3,0.682,0.8261,0.9031,0.5309,0.8297,0.9052,5e-05,134.5
4,0.4013,0.8418,0.9128,0.325,0.8261,0.9031,5e-05,134.0
5,0.2627,0.85,0.9176,0.2559,0.8375,0.9097,5e-05,127.1
6,0.2163,0.8541,0.9202,0.2451,0.8316,0.9059,5e-05,130.7
7,0.1899,0.862,0.9249,0.2356,0.8327,0.9066,4.9e-05,126.2
8,0.1767,0.8657,0.9266,0.2293,0.836,0.9089,4.9e-05,106.2
9,0.1652,0.872,0.9308,0.2365,0.8325,0.9065,4.9e-05,107.6
10,0.1679,0.8687,0.9287,0.2327,0.8383,0.9103,4.9e-05,106.0
11,0.1556,0.8767,0.9335,0.2379,0.8332,0.9072,4.9e-05,108.6
12,0.1526,0.8785,0.9347,0.2325,0.8348,0.9081,4.8e-05,107.7
13,0.1495,0.8803,0.9357,0.2452,0.8308,0.9045,4.8e-05,106.0
14,0.1445,0.8835,0.9376,0.2349,0.8399,0.9111,4.8e-05,105.1
15,0.1403,0.8864,0.9392,0.2398,0.8385,0.9102,4.7e-05,106.4
16,0.1348,0.8899,0.9411,0.2415,0.8377,0.9099,4.7e-05,106.0
17,0.1334,0.89,0.9412,0.2404,0.8397,0.9109,4.7e-05,105.7
18,0.1349,0.8901,0.9412,0.2375,0.8344,0.9081,4.6e-05,107.9
19,0.1247,0.8968,0.9452,0.2395,0.841,0.9117,4.6e-05,107.5
20,0.1203,0.8997,0.9467,0.2455,0.8382,0.9099,4.5e-05,108.1
21,0.1189,0.9012,0.9474,0.2613,0.8357,0.9077,4.5e-05,121.3
22,0.1172,0.9024,0.9482,0.2686,0.834,0.9069,4.4e-05,129.2
23,0.1123,0.9047,0.9496,0.2412,0.8445,0.914,4.4e-05,103.3
24,0.1096,0.9076,0.9512,0.2561,0.8348,0.9081,4.3e-05,106.8
25,0.1082,0.9089,0.952,0.2455,0.8437,0.9136,4.3e-05,104.3
26,0.1044,0.9121,0.9538,0.2612,0.8401,0.9109,4.2e-05,103.2
27,0.1024,0.9129,0.9541,0.2474,0.8442,0.9137,4.2e-05,103.4
28,0.1018,0.9141,0.9549,0.2539,0.8413,0.9115,4.1e-05,106.1
29,0.1025,0.9138,0.9547,0.2426,0.8432,0.913,4.1e-05,103.3
30,0.1003,0.9151,0.9554,0.2783,0.8329,0.9062,4e-05,104.3
31,0.0955,0.9185,0.9572,0.2684,0.8384,0.9103,3.9e-05,101.9
32,0.0919,0.922,0.9593,0.2638,0.8418,0.912,3.9e-05,105.8
33,0.0915,0.9219,0.9592,0.267,0.8411,0.9116,3.8e-05,101.6
34,0.0914,0.9222,0.9593,0.2818,0.8367,0.9084,3.7e-05,104.8
35,0.0895,0.9233,0.9599,0.266,0.8412,0.9116,3.7e-05,101.2
36,0.0876,0.9254,0.9611,0.265,0.8413,0.9117,3.6e-05,110.0
37,0.0856,0.9268,0.9619,0.2884,0.8323,0.9055,3.5e-05,104.9
38,0.0841,0.9277,0.9624,0.2605,0.8426,0.9126,3.5e-05,102.0
